Time,Benz,Type,mean,sem,lower,upper
2022-02-04T09:55:12Z,3.0000000000000004e-9,Total,11.333333333333334,1.2018504251546631,10.13148290817867,12.535183758487998
2022-02-04T09:55:12Z,3.0000000000000004e-9,Specific,3.666666666666667,1.247219128924647,2.4194475377420197,4.913885795591314
2022-02-04T09:55:12Z,1e-8,Background,18,2.0816659994661326,15.918334000533868,20.081665999466132
2022-02-04T09:55:12Z,1e-8,Total,27.333333333333332,1.8559214542766742,25.477411879056657,29.189254787610007
2022-02-04T09:55:12Z,1e-8,Specific,9.333333333333332,2.7888667551135855,6.544466578219747,12.122200088446917
2022-02-04T09:55:12Z,3.0000000000000004e-8,Background,47,4.725815626252609,42.27418437374739,51.72581562625261
2022-02-04T09:55:12Z,3.0000000000000004e-8,Total,63.666666666666664,6.009252125773315,57.65741454089335,69.67591879243997
2022-02-04T09:55:12Z,3.0000000000000004e-8,Specific,16.666666666666664,7.644896627453143,9.021770039213521,24.311563294119807
2022-02-04T09:55:12Z,1.0000000000000001e-7,Background,173,8.18535277187245,164.81464722812754,181.18535277187246
2022-02-04T09:55:12Z,1.0000000000000001e-7,Total,198,2.0816659994661326,195.91833400053386,200.08166599946614
2022-02-04T09:55:12Z,1.0000000000000001e-7,Specific,25,8.445906306213285,16.554093693786715,33.44590630621329
2022-02-04T09:55:12Z,3.0000000000000004e-7,Background,451,11.590225767142474,439.4097742328575,462.5902257671425
2022-02-04T09:55:12Z,3.0000000000000004e-7,Total,536,22.338307903688676,513.6616920963113,558.3383079036887
2022-02-04T09:55:12Z,3.0000000000000004e-7,Specific,85,25.16611478423583,59.83388521576417,110.16611478423583
2022-02-04T09:55:12Z,1e-6,Background,1538.3333333333333,33.41822523381183,1504.9151080995214,1571.7515585671451
2022-02-04T09:55:12Z,1e-6,Total,1799.3333333333333,51.962593383232054,1747.370739950101,1851.2959267165654
2022-02-04T09:55:12Z,1e-6,Specific,261,61.780975137083175,199.21902486291683,322.78097513708315
2022-02-04T10:39:18Z,1e-9,Background,5.333333333333333,1.2018504251546631,4.13148290817867,6.535183758487996
2022-02-04T10:39:18Z,1e-9,Total,7,1,6,8
2022-02-04T10:39:18Z,1e-9,Specific,1.666666666666667,1.563471919941143,0.10319474672552387,3.23013858660781
2022-02-04T10:39:18Z,3.0000000000000004e-9,Background,13.666666666666666,2.4037008503093262,11.26296581635734,16.070367516975992
2022-02-04T10:39:18Z,3.0000000000000004e-9,Total,10.333333333333334,3.333333333333334,7,13.666666666666668
